id,northing,easting,altitude,start,stop,sd1500,sd750
101,6091837.98,468619.84,1403.75,741657600,1,1,0
102,6089249.42,468626.01,1401.5,742348800,1,1,0
103,6091856.57,467127.23,1406.9,742348800,1,1,0
104,6093214.94,467823.99,1407.66,743299200,1,1,0
105,6089277.69,470118.65,1399.31,741830400,1,1,0
106,6087951.98,472369.04,1392.13,749088000,1,1,0
107,6093146.75,472375.73,1398.97,741830400,1,1,0
108,6093151.45,466375.6,1410.49,743299200,1,1,0
109,6094504.11,467059.18,1410.17,743299200,1,1,0
110,6093151.03,469383.96,1402.46,741830400,1,1,0
111,6087954.07,473873.11,1391.91,749779200,1,1,0
112,6090552.42,472374.78,1397.27,741830400,1,1,0
113,6089249.41,473121.07,1395.26,749260800,1,1,0
114,6094457.9,471631.53,1402.44,743299200,1,1,0
115,6089247.38,458133.5,1420.59,767404800,1,1,0
116,6094439.11,470137.54,1403.79,743299200,1,1,0
117,6093153.86,470874.13,1402.11,741657600,1,1,0
118,6094442.28,468630.63,1407.5,743299200,1,1,0
119,6091851.8,471630.6,1399.13,741657600,1,1,0
121,6082782.8,467880.07,1393.57,751593600,1,1,0
122,6091858.5,473126.25,1396.79,741830400,1,1,0
123,6089194.49,456646.38,1422.01,767404800,1,1,0
124,6087948.71,457370.82,1418.23,767404800,1,1,0
125,6081469.21,464121.84,1395.66,758851200,1,1,0
126,6090565.77,457321.93,1425.59,767404800,1,1,0
127,6091843.62,458124.53,1427.5,767923200,1,1,0
128,6084047.04,464130.62,1399.23,735350400,1,1,0
129,6091870.3,456638.35,1430.4,767404800,1,1,0
130,6093133.56,457329.46,1432.94,767923200,1,1,0
131,6090554.52,467872.25,1404.25,742348800,1,1,0
132,6086651.72,473126.99,1391.03,747792000,1,1,0
133,6086649.14,471627.25,1393.13,744251085,1,1,0
134,6089329.68,471589.85,1395.34,741830400,1,1,0
135,6086647.51,470127.05,1395.5,743299200,1,1,0
137,6084045.01,477625.37,1383.78,750816000,1,1,0
138,6090545.78,469374.93,1401.51,741830400,1,1,0
139,6091848.95,470130.35,1401.03,741657600,1,1,0
140,6090546.52,470890.71,1399.73,741830400,1,1,0
141,6093144.84,478375.27,1390.19,758246400,1,1,0
142,6087951.94,470879.25,1395.84,742348800,1,1,0
143,6086648.68,468629.07,1397.84,743299200,1,1,0
144,6087950.52,469379.74,1398.26,742348800,1,1,0
145,6085352.01,469379.56,1394.86,743817600,1,1,0
146,6085347.68,470879.45,1392.87,743817600,1,1,0
147,6085352.81,472376.2,1390.78,745632000,1,1,0
148,6086643.18,467128.44,1399.77,743558400,1,1,0
149,6085350.17,467875.58,1396.61,744336000,1,1,0
150,6087952.03,467875.75,1400.64,743299200,1,1,0
151,6089231.77,467117.55,1404.76,743299200,1,1,0
152,6086674.85,462599.09,1404.82,735350400,1,1,0
153,6085344.43,463389.61,1401.65,735955200,1,1,0
154,6085335.61,464872.08,1400.1,735350400,1,1,0
155,6086658.75,464112.86,1403.08,735350400,1,1,0
156,6089264.51,465642.87,1407.32,743299200,1,1,0
157,6087950.55,464897.51,1404.24,743558400,1,1,0
158,6087944.83,466373,1403.1,743558400,1,1,0
159,6090544.77,460363.51,1417.31,767923200,1,1,0
160,6089254.03,461127.06,1413.98,755222400,1,1,0
161,6090547.68,461866.14,1415.7,755222400,1,1,0
162,6090533.48,463455.42,1411.51,755136000,1,1,0
163,6087950.63,461878.5,1408.73,755222400,1,1,0
164,6089235.89,462595.03,1405.6,755222400,1,1,0
165,6087935.28,463397.9,1405.82,755222400,1,1,0
166,6089235.41,464110.14,1407.7,755222400,1,1,0
167,6084048.56,467124.8,1394.84,745632000,1,1,0
168,6084043.69,465657.49,1397.34,745718400,1,1,0
169,6085347.96,466375.57,1398.44,745632000,1,1,0
170,6086636.45,465611.56,1401.24,743558400,1,1,0
171,6091847.02,465642.02,1409.69,755136000,1,1,0
172,6090547.41,464875.23,1409.38,755136000,1,1,0
173,6090521.43,466377.17,1407.97,755136000,1,1,0
174,6091790.51,464075.37,1414.22,755136000,1,1,0
175,6094396.68,462684.55,1420.62,768009600,1,1,0
176,6093143.83,463313.04,1418.24,768009600,1,1,0
177,6093183.51,461876.02,1421.22,768009600,1,1,0
178,6091795.01,462547.84,1417.14,755136000,1,1,0
179,6093194.9,464861.17,1414.36,755136000,1,1,0
180,6087901.5,458849.45,1414.41,767404800,1,1,0
181,6089238.62,459633.98,1417.68,767404800,1,1,0
182,6087964.1,460403.16,1411.78,755222400,1,1,0
183,6094364.96,464154.84,1418.07,767923200,1,1,0
184,6090530.54,458779.49,1423.52,767404800,1,1,0
187,6093129.79,458854.99,1431.57,767923200,1,1,0
188,6093079.77,460413.14,1424.2,768009600,1,1,0
189,6091882.55,461185.04,1419.37,791510400,1,1,0
190,6091852.12,459625.7,1424.02,767923200,1,1,0
191,6084054.23,470125.87,1391.97,745804800,1,1,0
192,6084053.92,468575.67,1393.5,750989136,1,1,0
193,6082744.73,469469.02,1390.87,751075200,1,1,0
194,6084055.39,471627.61,1390.81,745632000,1,1,0
195,6082760.82,472376.6,1388.67,747360000,1,1,0
196,6082759.52,466372.11,1395.29,755654400,1,1,0
197,6082758.34,464875.15,1396.21,755654400,1,1,0
198,6082748.73,470870.79,1390.59,747792000,1,1,0
199,6081502.46,467131.79,1391.56,755654400,1,1,0
200,6081461.94,470125.9,1387.82,755654400,1,1,0
201,6081493.3,468608.78,1391.05,757641600,1,1,0
202,6081467,471625.66,1386.14,755654400,1,1,0
203,6095749.81,469375.88,1407.58,743644800,1,1,0
204,6095743.53,470876.13,1403.17,747187200,1,1,0
205,6095746.02,467869.94,1410.74,743644800,1,1,0
206,6097035.37,470126.17,1404.79,743644800,1,1,0
207,6089251.81,476121.09,1391.62,747360000,1,1,0
208,6086642.32,479126.58,1384.29,757728000,1,1,0
209,6093144.72,473876.47,1395.99,749779200,1,1,0
211,6094446.17,474626.53,1395.84,747187200,1,1,0
212,6094444.46,473124.79,1398.46,749779200,1,1,0
213,6097037.4,471627.57,1400.91,751075200,1,1,0
214,6093145.9,475375.2,1396.19,747187200,1,1,0
215,6095743.76,472378.81,1400.84,747187200,1,1,0
216,6097035.08,473125.91,1403.03,747187200,1,1,0
